period,period_end,entity,statement,section_group,line_label,row_type,statement_line_code,amount_client_basis,amount_presentation,source_tab,source_row,source_file
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,8294.55,8294.55,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Emol.Pack-Other,detail,personnel_costs,0.0,0.0,SCI Detailed,21,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,12073190.93,12073190.93,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,7780429.15,7780429.15,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,510919.54,510919.54,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,255355.2,255355.2,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,794670.38,794670.38,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,Personnel Costs,Emol.Pack-Med.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,22,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,18613003.29,18613003.29,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,0.0,0.0,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,8260367.0,8260367.0,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Emol.Pack-Pens.Contribut.,detail,personnel_costs,1178355.51,1178355.51,SCI Detailed,23,April 2026 Consolidated Accounts.xlsx
