period,entity,statement,statement_line_code,line_label,category_l1,line_order,client_basis_kes,client_presentation_kes
2026-02,NIGERIA,SFP,investment_in_associate,Investment in associate,ASSETS,270,0.0,0.0
2026-02,NIGERIA,SFP,investment_unquoted_equity,Investment in unquoted equity securities,ASSETS,280,1302480.0,1302480.0
2026-02,NIGERIA,SFP,net_profit,Net Profit (derived),EQUITY AND LIABILITIES,460,-5619551.14,5619551.14
2026-02,NIGERIA,SFP,non_controlling_interests,Non-controlling interests,EQUITY AND LIABILITIES,470,0.0,-0.0
2026-02,NIGERIA,SFP,office_cash,Cash - Office Cash,ASSETS,360,2356221.92,2356221.92
2026-02,NIGERIA,SFP,other_receivables,Other Receivables,ASSETS,340,8737892.87,8737892.87
2026-02,NIGERIA,SFP,placements,Cash - Placements,ASSETS,390,0.0,0.0
2026-02,NIGERIA,SFP,ppe,"Property, Plant and Equipment",ASSETS,240,3650159.16,3650159.16
2026-02,NIGERIA,SFP,premium_payable,Premium payable,EQUITY AND LIABILITIES,500,0.0,-0.0
2026-02,NIGERIA,SFP,premium_receivables,Premium Receivables,ASSETS,330,0.0,0.0
2026-02,NIGERIA,SFP,proposed_dividend,Proposed dividend,EQUITY AND LIABILITIES,440,0.0,-0.0
2026-02,NIGERIA,SFP,retained_earnings,Retained earnings,EQUITY AND LIABILITIES,450,-19875571.86,19875571.86
2026-02,NIGERIA,SFP,share_capital,Share capital,EQUITY AND LIABILITIES,420,-6753600.0,6753600.0
2026-02,NIGERIA,SFP,tax_recoverable,Tax recoverable,ASSETS,400,-36359.94,-36359.94
2026-02,NIGERIA,SFP,trade_and_other_payables,Trade and other payables,EQUITY AND LIABILITIES,480,-9702083.34,9702083.34
2026-02,NIGERIA,SFP,trade_receivables,Trade Receivables (Debtors),ASSETS,320,24775633.31,24775633.31
2026-02,NIGERIA,SFP,translation_reserve,Translation reserve,EQUITY AND LIABILITIES,430,-127350.79,127350.79
2026-02,RWANDA,SCI,actuarial_fees,Actuarial Fees,INCOME,10,-431776.16,431776.16
2026-02,RWANDA,SCI,advertising_pr,Advertising & PR,EXPENSES,150,18197.57,18197.57
2026-02,RWANDA,SCI,communications,Communications,EXPENSES,120,206037.56,206037.56
2026-02,RWANDA,SCI,depreciation,Depreciation,EXPENSES,180,583334.04,583334.04
2026-02,RWANDA,SCI,entertainment,Entertainment,EXPENSES,100,15879.29,15879.29
2026-02,RWANDA,SCI,finance_costs,Finance cost,EXPENSES,220,0.0,0.0
2026-02,RWANDA,SCI,general_expenses,General Expenses,EXPENSES,200,218804.41,218804.41
2026-02,RWANDA,SCI,insurance,Insurance,EXPENSES,160,140091.83,140091.83
2026-02,RWANDA,SCI,insurance_commissions,Insurance Commissions,INCOME,40,-7700261.68,7700261.68
2026-02,RWANDA,SCI,it_costs,IT Costs,EXPENSES,110,97604.57,97604.57
2026-02,RWANDA,SCI,management_expense,Management Expense,EXPENSES,210,0.0,0.0
2026-02,RWANDA,SCI,motor_vehicle_expenses,Motor Vehicle Expenses,EXPENSES,190,120514.4,120514.4
2026-02,RWANDA,SCI,other_income,Other Income,INCOME,70,-296401.82,296401.82
2026-02,RWANDA,SCI,pension_admin_fee,Pension Admin Fee,INCOME,20,-157459.24,157459.24
2026-02,RWANDA,SCI,personnel_costs,Personnel Costs,EXPENSES,80,6071709.53,6071709.53
2026-02,RWANDA,SCI,premises,Premises,EXPENSES,140,473590.14,473590.14
2026-02,RWANDA,SCI,printing_stationery,Printing & Stationery,EXPENSES,130,60337.37,60337.37
2026-02,RWANDA,SCI,professional_fees,Professional Fees,EXPENSES,170,469335.99,469335.99
2026-02,RWANDA,SCI,saas_income,SAAS (Software as a Service),INCOME,50,0.0,-0.0
2026-02,RWANDA,SCI,taxation,Taxation,EXPENSES,230,0.0,0.0
2026-02,RWANDA,SCI,travelling,Travelling,EXPENSES,90,453504.71,453504.71
2026-02,RWANDA,SFP,borrowings,Borrowings,EQUITY AND LIABILITIES,510,0.0,-0.0
2026-02,RWANDA,SFP,computer_software,Intangible - computer software,ASSETS,250,3546023.9,3546023.9
2026-02,RWANDA,SFP,deferred_tax,Deferred tax,ASSETS,310,-360174.76,-360174.76
2026-02,RWANDA,SFP,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,ASSETS,290,0.0,0.0
2026-02,RWANDA,SFP,deposits,Cash - Deposits,ASSETS,380,13286093.85,13286093.85
2026-02,RWANDA,SFP,due_from_to_related_parties,Due from/to related parties,ASSETS,350,-1363435.87,-1363435.87
2026-02,RWANDA,SFP,goodwill,Intangible - goodwill,ASSETS,260,0.0,0.0
2026-02,RWANDA,SFP,investment_in_associate,Investment in associate,ASSETS,270,0.0,0.0
